Triangle,Anum,Trait,Sequence
ChristTree,A106465,Tabl,[1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 ]
ChristTree,A106465,RevTabl,[1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 ]
ChristTree,A106467,InvTabl,[1 -1 1 -1 0 1 1 -1 -1 1 0 0 -1 0 1 0 0 1 -1 -1 1 0 0 0 0 -1 0 1 0 ]
ChristTree,A106467,InvRevTabl,[1 -1 1 -1 0 1 1 -1 -1 1 0 0 -1 0 1 0 0 1 -1 -1 1 0 0 0 0 -1 0 1 0 ]
ChristTree,A000012,RevInvTabl,[1 1 -1 1 0 -1 1 -1 -1 1 1 0 -1 0 0 1 -1 -1 1 0 0 1 0 -1 0 0 0 0 1 ]
ChristTree,,AccTabl,[1 1 2 1 1 2 1 2 3 4 1 1 2 2 3 1 2 3 4 5 6 1 1 2 2 3 3 4 1 2 3 4 5 ]
ChristTree,,RevAccTabl,[1 2 1 2 1 1 4 3 2 1 3 2 2 1 1 6 5 4 3 2 1 4 3 3 2 2 1 1 8 7 6 5 4 ]
ChristTree,,AccRevTabl,[1 1 2 1 1 2 1 2 3 4 1 1 2 2 3 1 2 3 4 5 6 1 1 2 2 3 3 4 1 2 3 4 5 ]
ChristTree,A000012,AntiDiagTabl,[1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 ]
ChristTree,,DiffxTabl,[1 1 2 1 0 3 1 2 3 4 1 0 3 0 5 1 2 3 4 5 6 1 0 3 0 5 0 7 1 2 3 4 5 ]
ChristTree,,BinTabl,[1 1 2 1 1 2 1 2 4 8 1 1 2 4 8 1 2 4 8 16 32 1 1 2 4 8 16 32 1 2 4 ]
